scrape_ts,city,probe_locality,probe_lat,probe_lng,restaurant_id,name,locality,area_name,cost_for_two_raw,cuisines,avg_rating,total_ratings_raw,delivery_time_min,last_mile_km,is_open,veg_only,offer_header,offer_subheader,offer_tag,chain_parent_id,cost_for_two,n_ratings,offer_type,offer_pct,offer_flat,offer_cap,offer_min_order,item_price,locality_reach,chain_outlets,is_chain,n_cuisines,primary_cuisine,has_offer,log_cost,log_votes,cost_w,cost_pct_in_city
2026-09-19 21:12:19,Bengaluru,Koramangala,12.9352,77.6245,218,Anand Sweets & Savouries,5th Block,Koramangala,₹300 for two,Sweets|Chaat|Snacks|Desserts,4.6,62K+,30,0.6,True,True,₹75 OFF,ABOVE ₹499,FLAT DEAL,53,300.0,62000.0,flat,0.0,75.0,,499.0,,1,3,1,4,Sweets,1,5.703782474656201,11.034905792929415,300.0,0.4782608695652174
2026-09-19 21:12:19,Bengaluru,Koramangala,12.9352,77.6245,312,Beijing Bites,5th A Block,Koramangala,₹450 for two,Chinese|Thai|Pan-Asian,4.3,42K+,32,1.0,True,False,70% OFF,UPTO ₹140,,103,450.0,42000.0,percent,70.0,0.0,140.0,,,1,5,1,3,Chinese,1,6.1092475827643655,10.645448706505872,450.0,0.8873517786561265
2026-09-19 21:12:19,Bengaluru,BTM Layout,12.9166,77.6101,333,Beijing Bites,BTM Layout,BTM Layout,₹450 for two,Chinese|Thai,4.3,32K+,30,0.7,True,False,70% OFF,UPTO ₹140,,103,450.0,32000.0,percent,70.0,0.0,140.0,,,1,5,1,2,Chinese,1,6.1092475827643655,10.373522431293592,450.0,0.8873517786561265
2026-09-19 21:12:19,Bengaluru,Indiranagar,12.9784,77.6408,756,Corner House Ice Cream,Indiranagar,Indiranagar,₹250 for two,Ice Cream|Desserts,4.8,133K+,32,1.5,True,False,,,,65254,250.0,133000.0,none,0.0,0.0,,,,1,5,1,2,Ice Cream,0,5.521460917862246,11.798111925972618,250.0,0.25296442687747034
2026-09-19 21:12:19,Bengaluru,Koramangala,12.9352,77.6245,757,Corner House Ice Cream,Koramangala,Koramangala,₹250 for two,Ice Cream|Desserts,4.7,89K+,35,1.2,True,False,,,,65254,250.0,89000.0,none,0.0,0.0,,,,1,5,1,2,Ice Cream,0,5.521460917862246,11.39640288460621,250.0,0.25296442687747034
2026-09-19 21:12:19,Bengaluru,Jayanagar,12.925,77.5938,1087,Corner House Ice Cream,Jayanagar,Jayanagar,₹250 for two,Ice Cream|Desserts,4.7,77K+,30,1.1,True,False,,,,65254,250.0,77000.0,none,0.0,0.0,,,,1,5,1,2,Ice Cream,0,5.521460917862246,11.251573687764477,250.0,0.25296442687747034
2026-09-19 21:12:19,Hyderabad,Kondapur,17.4615,78.3639,1100,Santosh Dhaba Exclusive,Kothaguda,Gachibowli,₹300 for two,North Indian|Chinese|Biryani,4.0,136K+,23,0.4,True,True,₹150 OFF,ABOVE ₹449,FLAT DEAL,8784,300.0,136000.0,flat,0.0,150.0,,449.0,,1,1,0,3,North Indian,1,5.703782474656201,11.820417517632333,300.0,0.48484848484848486
2026-09-19 21:12:19,Hyderabad,Gachibowli,17.4401,78.3489,1120,Sardarji's Chat and More,Gachibowli,Gachibowli,₹200 for two,Fast Food|Chaat|Punjabi,4.3,55K+,29,1.5,True,True,ITEMS,AT ₹19,,21713,200.0,55000.0,item_price_point,0.0,0.0,,,19.0,1,1,0,3,Fast Food,1,5.298317366548036,10.915106645867503,200.0,0.09523809523809523
2026-09-19 21:12:19,Bengaluru,Marathahalli,12.9591,77.6974,1187,Baskin Robbins - Ice Cream Desserts,Anand Nagar,"AA Arcade, Marathahalli Outer Ring Rd",₹250 for two,Desserts|Ice Cream,4.3,7.5K+,27,1.4,True,True,ITEMS,AT ₹15,,5588,250.0,7500.0,item_price_point,0.0,0.0,,,15.0,1,59,1,2,Desserts,1,5.521460917862246,8.922791623969637,250.0,0.25296442687747034
2026-09-19 21:12:19,Hyderabad,Madhapur,17.4483,78.3915,1205,Blue Fox,Madhapur,Hitech City,₹1000 for two,Chinese|Andhra,4.0,12K+,33,1.2,True,False,70% OFF,UPTO ₹140,,759188,1000.0,12000.0,percent,70.0,0.0,140.0,,,1,2,0,2,Chinese,1,6.907755278982137,9.392745258631441,900.0,0.9848484848484849
2026-09-19 21:12:19,Bengaluru,Whitefield,12.9698,77.75,1327,Baskin Robbins - Ice Cream Desserts,Varthur Main Road,"Hope Farm, Varthur Main Road",₹250 for two,Desserts|Ice Cream,4.4,9.1K+,24,1.0,True,True,ITEMS,AT ₹15,,5588,250.0,9100.0,item_price_point,0.0,0.0,,,15.0,1,59,1,2,Desserts,1,5.521460917862246,9.116139576577355,250.0,0.25296442687747034
2026-09-19 21:12:19,Bengaluru,Indiranagar,12.9784,77.6408,1531,A2B - Adyar Ananda Bhavan,Indiranagar,Indiranagar,₹300 for two,South Indian|Sweets|Chinese,4.5,118K+,31,0.5,True,True,ITEMS,AT ₹139,,22,300.0,118000.0,item_price_point,0.0,0.0,,,139.0,1,11,1,3,South Indian,1,5.703782474656201,11.678448377988165,300.0,0.4782608695652174
