scrape_ts,city,probe_locality,probe_lat,probe_lng,restaurant_id,name,locality,area_name,cost_for_two_raw,cuisines,avg_rating,total_ratings_raw,delivery_time_min,last_mile_km,is_open,veg_only,offer_header,offer_subheader,offer_tag,chain_parent_id,listing_url
2026-09-19 21:12:19,Chennai,T. Nagar,13.0418,80.2341,53631,Ibaco,Thyagaraya Nagar,T Nagar,₹800 for two,Ice Cream|Desserts,4.7,6.6K+,22,1.3,True,True,,,,3481,https://www.swiggy.com/city/chennai/ibaco-thyagaraya-nagar-t-nagar-rest53631
2026-09-19 21:12:19,Chennai,T. Nagar,13.0418,80.2341,67596,"Faasos - Wraps, Rolls & Shawarma",Eldams Road,Mylapore,₹200 for two,Wraps|rolls|Fast Food|Burger|shawarma|Rice Bowls,4.2,11K+,30,2.1,True,False,65% OFF,UPTO ₹125,,21809,https://www.swiggy.com/city/chennai/faasos-wraps-rolls-and-shawarma-eldams-road-mylapore-rest67596
2026-09-19 21:12:19,Chennai,T. Nagar,13.0418,80.2341,93242,McDonald's,Pondy Bazzar,T. Nagar,₹400 for two,Burgers|Beverages|Cafe|Desserts,4.3,28K+,20,0.3,True,False,ITEMS,AT ₹64,,630,https://www.swiggy.com/city/chennai/mcdonalds-pondy-bazzar-t-nagar-rest93242
2026-09-19 21:12:19,Chennai,T. Nagar,13.0418,80.2341,735362,The Belgian Waffle Co.,ASHOK NAGAR,PHASE 1,₹200 for two,Waffle|Desserts|Ice Cream,4.4,2.0K+,29,3.6,True,True,30% OFF,UPTO ₹60,,2233,https://www.swiggy.com/city/chennai/the-belgian-waffle-co-ashok-nagar-phase-1-rest735362
2026-09-19 21:12:19,Chennai,T. Nagar,13.0418,80.2341,56863,Subway,North Boag Road,T. Nagar,₹350 for two,sandwich|Salads|wrap|Healthy Food,4.2,29K+,22,1.3,True,False,ITEMS,AT ₹69,,2,https://www.swiggy.com/city/chennai/subway-north-boag-road-t-nagar-rest56863
2026-09-19 21:12:19,Chennai,T. Nagar,13.0418,80.2341,18045,A2B - Adyar Ananda Bhavan,Thyagaraya Nagar,T Nagar,₹300 for two,South Indian|Sweets|Chinese,4.5,53K+,25,0.7,True,True,ITEMS,AT ₹39,,22,https://www.swiggy.com/city/chennai/a2b-adyar-ananda-bhavan-thyagaraya-nagar-t-nagar-rest18045
2026-09-19 21:12:19,Chennai,T. Nagar,13.0418,80.2341,15742,Sangeetha Veg Restaurant,Mylapore,South Mada Street,₹200 for two,Chinese|South Indian,4.7,84K+,29,4.7,True,True,ITEMS,AT ₹99,,1260,https://www.swiggy.com/city/chennai/sangeetha-veg-restaurant-mylapore-south-mada-street-rest15742
2026-09-19 21:12:19,Chennai,T. Nagar,13.0418,80.2341,17819,KFC,Thyagaraya Nagar,Thyagaraya Nagar,₹400 for two,Burgers|Fast Food|Rolls & Wraps,4.1,32K+,21,1.7,True,False,50% OFF,,FLAT DEAL,547,https://www.swiggy.com/city/chennai/kfc-thyagaraya-nagar-rest17819
2026-09-19 21:12:19,Chennai,T. Nagar,13.0418,80.2341,24353,Domino's Pizza,Thyagaraya Nagar,T Nagar,₹400 for two,Pizzas|Italian|Pastas|Desserts,4.4,18K+,25,1.5,True,False,50% OFF,,FLAT DEAL,2456,https://www.swiggy.com/city/chennai/dominos-pizza-thyagaraya-nagar-t-nagar-rest24353
2026-09-19 21:12:19,Chennai,T. Nagar,13.0418,80.2341,623724,Theobroma,Nungambakkam,Nungambakkam,₹400 for two,Bakery|Desserts,4.5,8.8K+,22,2.7,True,False,ITEMS,AT ₹37,,1040,https://www.swiggy.com/city/chennai/theobroma-nungambakkam-rest623724
2026-09-19 21:12:19,Chennai,T. Nagar,13.0418,80.2341,16229,Pizza Hut,Ashok Nagar,Ashok Nagar,₹400 for two,Pizzas,4.3,28K+,32,2.2,True,False,50% OFF,,FLAT DEAL,721,https://www.swiggy.com/city/chennai/pizza-hut-ashok-nagar-rest16229
2026-09-19 21:12:19,Chennai,T. Nagar,13.0418,80.2341,518646,Burger King,Ashok Nagar,Vadapalani,₹350 for two,Burgers|American,4.2,23K+,27,3.5,True,False,ITEMS,AT ₹39,,166,https://www.swiggy.com/city/chennai/burger-king-ashok-nagar-vadapalani-rest518646
2026-09-19 21:12:19,Chennai,T. Nagar,13.0418,80.2341,230595,Wow! Momo,Anna Salai,Teynampet,₹300 for two,Momos|Chinese|fastfood|Asian|Beverages,4.2,6.5K+,24,1.7,True,False,70% OFF,UPTO ₹140,,1776,https://www.swiggy.com/city/chennai/wow-momo-anna-salai-teynampet-rest230595
2026-09-19 21:12:19,Chennai,T. Nagar,13.0418,80.2341,204107,NIC Ice Creams,Luz church road,Mylapore,₹120 for two,Desserts|Ice Cream,4.6,8.6K+,24,4.1,True,True,70% OFF,UPTO ₹140,,6249,https://www.swiggy.com/city/chennai/nic-ice-creams-luz-church-road-mylapore-rest204107
2026-09-19 21:12:19,Chennai,T. Nagar,13.0418,80.2341,561071,Taco Bell,Ashok Nagar,Ashok Nagar,₹300 for two,Mexican|Fast Food|Snacks,4.2,5.8K+,31,3.7,True,False,65% OFF,UPTO ₹125,,1557,https://www.swiggy.com/city/chennai/taco-bell-ashok-nagar-rest561071
2026-09-19 21:12:19,Chennai,T. Nagar,13.0418,80.2341,307787,Barbeque Nation,The Grand Sweets,Thyagaraya Nagar,₹600 for two,North Indian|Barbecue|Kebabs|Biryani|Street Food|Snacks,3.9,1.5K+,27,1.4,True,False,ITEMS,AT ₹149,,2438,https://www.swiggy.com/city/chennai/barbeque-nation-the-grand-sweets-thyagaraya-nagar-rest307787
2026-09-19 21:12:19,Chennai,T. Nagar,13.0418,80.2341,12621,Baskin Robbins - Ice Cream Desserts,Thyagaraya Nagar,T Nagar,₹200 for two,Ice Cream,4.6,4.6K+,16,0.7,True,True,ITEMS,AT ₹15,,5588,https://www.swiggy.com/city/chennai/baskin-robbins-ice-cream-desserts-thyagaraya-nagar-t-nagar-rest12621
2026-09-19 21:12:19,Chennai,T. Nagar,13.0418,80.2341,141370,Starbucks Coffee,Thyagaraya Nagar,Thyagaraya Nagar,₹400 for two,Beverages|Cafe|Snacks|Desserts|Bakery|Ice Cream,4.5,4.0K+,14,,True,False,₹85 OFF,ABOVE ₹199,FLAT DEAL,195515,https://www.swiggy.com/city/chennai/starbucks-coffee-thyagaraya-nagar-rest141370
2026-09-19 21:12:19,Chennai,T. Nagar,13.0418,80.2341,412751,Wendy's Burgers,Teynampet,Teynampet,₹200 for two,Burgers|Fast Food|wrap,4,2.2K+,29,2.1,True,False,ITEMS,AT ₹59,,972,https://www.swiggy.com/city/chennai/wendys-burgers-teynampet-rest412751
2026-09-19 21:12:19,Chennai,T. Nagar,13.0418,80.2341,878004,Olio - The Wood Fired Pizzeria,Gopalakrishnan Street,T Nagar,₹300 for two,Pizzas|Pastas|Italian|Fast Food|Snacks|Beverages|Desserts,4,1.2K+,29,1.8,True,False,70% OFF,UPTO ₹140,,11633,https://www.swiggy.com/city/chennai/olio-the-wood-fired-pizzeria-gopalakrishnan-street-t-nagar-rest878004
2026-09-19 21:12:19,Chennai,T. Nagar,13.0418,80.2341,906690,Narmada Chain of Restaurant,Rajiv Gandhi Salai,Nungambakkam,₹500 for two,Andhra|Biryani,4.5,7.0K+,33,3.8,True,False,,,,410569,https://www.swiggy.com/city/chennai/narmada-chain-of-restaurant-rajiv-gandhi-salai-nungambakkam-rest906690
